TraceType,IndirectAggregation,ScalingType,NLP,Technique,AUC,Credibility,LagGlobal,MAP
NONETRACED,RFSMOTE,MULTI,LSA,NONETRACED_RFSMOTE_MULTI_LSA,0.5099206349206349,0.6583333333333333,2.3293650793650795,0.30462962962962964
NONETRACED,RFSMOTE,MULTI,VSM,NONETRACED_RFSMOTE_MULTI_VSM,0.5048185941043084,0.655952380952381,2.3293650793650795,0.30213735659280216
NONETRACED,RFNONE,RAW,LSA,NONETRACED_RFNONE_RAW_LSA,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,RFSMOTE,RAW,VSM,LOWERTRACED_RFSMOTE_RAW_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,RFUNDER,RAW,LSA,LOWERTRACED_RFUNDER_RAW_LSA,0.5,0.7,2.313492063492064,0.3
ALLTRACED,MEDIAN,RAW,LSA,ALLTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,RFNONE,RAW,LSA,LOWERTRACED_RFNONE_RAW_LSA,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,MEDIAN,SINGLE,VSM,LOWERTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,RFUNDER,RAW,VSM,LOWERTRACED_RFUNDER_RAW_VSM,0.5,0.7,2.313492063492064,0.3
NONETRACED,RFNONE,RAW,VSM,NONETRACED_RFNONE_RAW_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,RFNONE,RAW,VSM,LOWERTRACED_RFNONE_RAW_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,MEDIAN,RAW,VSM,LOWERTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,MEDIAN,RAW,LSA,LOWERTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.313492063492064,0.3
ALLTRACED,MEDIAN,SINGLE,LSA,ALLTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.313492063492064,0.3
UPPERTRACED,MEDIAN,MULTI,LSA,UPPERTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.313492063492064,0.3
ALLTRACED,MEDIAN,SINGLE,VSM,ALLTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,MEDIAN,SINGLE,LSA,LOWERTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.313492063492064,0.3
ALLTRACED,MEDIAN,MULTI,LSA,ALLTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.313492063492064,0.3
UPPERTRACED,MEDIAN,RAW,LSA,UPPERTRACED_MEDIAN_RAW_LSA,0.5,0.7,2.313492063492064,0.3
UPPERTRACED,MEDIAN,RAW,VSM,UPPERTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.313492063492064,0.3
UPPERTRACED,MEDIAN,SINGLE,VSM,UPPERTRACED_MEDIAN_SINGLE_VSM,0.5,0.7,2.313492063492064,0.3
ALLTRACED,MEDIAN,MULTI,VSM,ALLTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.313492063492064,0.3
UPPERTRACED,MEDIAN,MULTI,VSM,UPPERTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.313492063492064,0.3
ALLTRACED,MEDIAN,RAW,VSM,ALLTRACED_MEDIAN_RAW_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,MEDIAN,MULTI,VSM,LOWERTRACED_MEDIAN_MULTI_VSM,0.5,0.7,2.313492063492064,0.3
LOWERTRACED,MEDIAN,MULTI,LSA,LOWERTRACED_MEDIAN_MULTI_LSA,0.5,0.7,2.313492063492064,0.3
UPPERTRACED,MEDIAN,SINGLE,LSA,UPPERTRACED_MEDIAN_SINGLE_LSA,0.5,0.7,2.313492063492064,0.3
NONETRACED,RFUNDER,RAW,VSM,NONETRACED_RFUNDER_RAW_VSM,0.5,0.7,2.313492063492064,0.3
NONETRACED,RFUNDER,RAW,LSA,NONETRACED_RFUNDER_RAW_LSA,0.4991496598639456,0.6988095238095238,2.313492063492064,0.3
Random,,,,Random,0.4731400496706619,0.4885742630385487,2.3293650793650795,0.2865718993279801
