Dataset,Scenario,TechniqueType,% Traced,IndirectAggregation,ScalingMethod,NLP,Technique,PathAggregation,AUC,Credibility,LagGlobal,MAP
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,RAW,LSA,UPPERTRACED_RFNONE_RAW_LSA,NA,0.6825396825396824,0.7904761904761904,2.3174603174603177,0.5013468013468013
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,RAW,LSA,UPPERTRACED_RFSMOTE_RAW_LSA,NA,0.6802721088435374,0.6714285714285714,2.3293650793650795,0.4181783824640967
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,SINGLE,VSM,UPPERTRACED_RFNONE_SINGLE_VSM,NA,0.6706349206349207,0.8023809523809524,2.3095238095238093,0.5388888888888889
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,SINGLE,LSA,UPPERTRACED_RFNONE_SINGLE_LSA,NA,0.6499433106575964,0.7892857142857143,2.3134920634920637,0.5071943929086786
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFSMOTE,RAW,VSM,UPPERTRACED_RFSMOTE_RAW_VSM,NA,0.6448412698412698,0.5678571428571428,2.2817460317460316,0.3802741296643736
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,MULTI,LSA,NONETRACED_RFUNDER_MULTI_LSA,NA,0.6320861678004535,0.7738095238095238,2.3174603174603177,0.465954415954416
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,SINGLE,LSA,NONETRACED_RFUNDER_SINGLE_LSA,NA,0.6309523809523809,0.7785714285714286,2.3055555555555562,0.4833333333333334
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFUNDER,MULTI,LSA,UPPERTRACED_RFUNDER_MULTI_LSA,NA,0.6230158730158729,0.5023809523809524,2.2896825396825395,0.36349331926863576
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,SINGLE,LSA,NONETRACED_MEDIAN_SINGLE_LSA,NA,0.6141952812871181,0.6506830720092915,2.333333333333333,0.4521715088313009
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,SINGLE,VSM,NONETRACED_MEDIAN_SINGLE_VSM,NA,0.6141952812871181,0.6811040476190476,2.333333333333333,0.4521715088313009
EasyClinic,NONETRACED,Indirect,0.0,RFNONE,MULTI,LSA,NONETRACED_RFNONE_MULTI_LSA,NA,0.5969387755102041,0.7547619047619047,2.3293650793650795,0.4235969387755102
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,MULTI,LSA,NONETRACED_MEDIAN_MULTI_LSA,NA,0.5900415721844293,0.6074276415203999,2.3293650793650795,0.4177388737189421
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,MULTI,VSM,NONETRACED_MEDIAN_MULTI_VSM,NA,0.5900415721844293,0.6725257142857143,2.3293650793650795,0.4177388737189421
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,MULTI,VSM,NONETRACED_RFUNDER_MULTI_VSM,NA,0.5875850340136055,0.7464285714285714,2.3134920634920637,0.4032581453634085
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,RAW,LSA,NONETRACED_MEDIAN_RAW_LSA,NA,0.5857325072886298,0.5991013824884792,2.333333333333333,0.4123773324591337
EasyClinic,NONETRACED,Indirect,0.0,MEDIAN,RAW,VSM,NONETRACED_MEDIAN_RAW_VSM,NA,0.5857325072886298,0.6916242857142857,2.333333333333333,0.4123773324591337
EasyClinic,NONETRACED,Indirect,0.0,RFUNDER,SINGLE,VSM,NONETRACED_RFUNDER_SINGLE_VSM,NA,0.5853174603174603,0.7511904761904762,2.3253968253968256,0.4194444444444444
EasyClinic,NONETRACED,Indirect,0.0,RFSMOTE,SINGLE,LSA,NONETRACED_RFSMOTE_SINGLE_LSA,NA,0.5850340136054422,0.7380952380952381,2.3253968253968256,0.3867346938775511
EasyClinic,UPPERTRACED,Indirect,0.5172413793103449,RFNONE,MULTI,LSA,UPPERTRACED_RFNONE_MULTI_LSA,NA,0.5833333333333333,0.7023809523809523,2.3174603174603177,0.35915492957746475
